TAXAS	3300005062_4	3300006249_7	3300007098_3	3300008268_8	3300011799_3	3300012811_5	3300013014_21	3300013138_52	3300014780_5	3300020426_2	3300025161_16	3300025471_17	3300025846_9	3300026121_15	3300026907_2	3300027043_5	3300027850_47	3300028070_3	3300028084_3	3300028087_3	3300028569_14	3300028994_3	3300029051_9	3300029323_5	3300029839_14
PUL0029	1	1	1	0	0	0	2	1	6	0	1	1	2	3	3	4	2	0	1	1	0	4	8	2	2
PUL0033	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	1	2	0	0
PUL0034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PUL0036	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
PUL0037	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0038	1	1	1	1	0	0	0	2	0	0	0	2	0	2	2	0	0	0	0	0	2	0	0	1	0
PUL0039	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0041	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0
PUL0042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PUL0044	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PUL0045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
PUL0046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PUL0047	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	0	0
PUL0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PUL0049	2	2	2	0	1	2	4	1	1	1	1	5	2	1	1	5	1	5	4	4	1	0	1	4	1
PUL0050	0	0	1	0	0	1	1	0	0	0	1	1	1	1	0	2	0	2	0	0	0	0	0	0	2
PUL0052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PUL0053	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0
PUL0057	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0
PUL0058	2	2	0	0	1	0	1	1	1	0	0	2	1	1	0	0	0	0	0	0	0	1	2	4	2
PUL0059	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
PUL0060	1	0	0	0	0	0	0	2	1	0	1	1	1	1	2	0	0	0	0	0	1	1	0	0	0
PUL0061	1	1	0	0	0	1	3	0	0	0	1	2	0	2	1	1	2	0	0	0	2	0	0	0	0
PUL0062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PUL0064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PUL0066	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
PUL0067	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	2	2	1	0	0	0	0	0
PUL0069	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
PUL0070	1	1	0	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	1	1	1	0	1	0	1
PUL0073	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
PUL0074	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PUL0075	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PUL0080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
PUL0081	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0082	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PUL0085	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PUL0088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PUL0090	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0093	1	4	5	1	0	3	0	1	0	0	1	0	0	6	1	0	1	3	3	2	0	0	1	0	0
PUL0094	0	1	2	1	0	1	0	0	0	3	0	0	0	1	1	0	1	2	0	1	2	0	1	2	1
PUL0096	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PUL0098	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
PUL0099	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0101	0	3	0	1	1	0	5	0	2	1	0	0	0	0	0	3	0	1	1	1	1	1	3	1	1
PUL0102	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
PUL0103	1	1	1	1	1	1	0	2	1	0	0	1	1	0	1	0	1	1	1	1	0	0	1	0	1
PUL0104	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
PUL0106	2	3	9	3	3	4	5	3	5	2	4	3	1	5	1	4	5	2	2	1	3	3	5	7	4
PUL0107	2	1	0	0	0	1	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	2	3	0	2
PUL0108	5	3	3	3	3	1	2	3	3	5	4	2	3	6	0	2	3	4	1	3	6	6	3	1	0
PUL0109	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0
PUL0110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PUL0113	0	0	0	0	0	0	0	0	7	0	1	0	0	1	0	0	0	0	0	0	1	2	4	1	1
PUL0114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
PUL0115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PUL0117	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0
PUL0118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PUL0119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
PUL0121	9	2	2	2	3	1	3	9	4	3	1	4	4	4	7	6	1	1	2	1	6	1	3	4	4
PUL0122	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0123	1	2	0	2	0	0	0	0	0	1	0	2	0	1	0	0	1	2	2	2	0	1	1	0	2
PUL0124	4	6	0	0	1	0	2	1	3	0	0	0	2	2	0	2	1	1	1	1	2	1	4	3	1
PUL0125	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0126	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PUL0127	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PUL0128	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0130	1	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PUL0131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
PUL0133	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	1	0	0	0	0	0	1	0	0	0
PUL0134	2	0	0	0	3	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0
PUL0135	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0
PUL0136	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
PUL0139	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PUL0140	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PUL0143	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PUL0144	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
PUL0145	1	2	2	1	5	2	3	1	0	3	0	0	2	5	10	0	2	2	2	3	1	0	1	1	0
PUL0146	0	0	0	0	0	0	2	0	0	0	3	0	0	1	0	1	0	0	0	0	3	0	0	0	0
PUL0147	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
PUL0148	0	1	0	0	0	1	4	0	0	0	2	0	1	0	1	0	0	0	0	0	10	0	0	1	0
PUL0149	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0
PUL0150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
PUL0151	0	0	0	1	0	0	1	0	0	1	0	0	2	0	1	0	1	0	0	1	0	0	0	0	0
PUL0152	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0
PUL0154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PUL0155	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PUL0160	0	0	1	1	0	2	2	0	1	1	6	0	0	1	0	0	0	0	0	0	6	0	0	0	0
PUL0161	0	0	1	1	1	1	1	0	1	0	0	0	2	1	0	0	1	1	1	1	2	3	0	1	2
PUL0162	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	2	2	0	0	1	1	0
PUL0163	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	3	0	0	0	0	0
PUL0164	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0
PUL0165	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0
PUL0166	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	0	0	0	0
PUL0168	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	1	1	2	1	0
PUL0169	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0
PUL0172	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	0
PUL0173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
PUL0177	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PUL0178	1	0	1	0	0	0	0	0	0	1	0	1	0	2	0	1	0	2	1	1	1	0	0	0	0
PUL0179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	0	0	0
PUL0180	3	1	1	1	0	2	2	2	1	1	2	0	1	1	0	0	3	4	2	2	2	2	3	1	1
PUL0181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0
PUL0184	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	3	2	2	0	2
PUL0186	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0
PUL0188	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PUL0190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
PUL0191	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PUL0192	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0193	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0
PUL0196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
PUL0198	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0199	0	0	0	0	1	0	0	1	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0	0
PUL0201	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0202	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PUL0206	0	0	0	2	2	2	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0
PUL0209	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PUL0210	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0211	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PUL0212	0	1	0	0	1	0	0	0	0	0	3	0	1	0	0	5	1	1	1	1	2	2	0	1	1
PUL0213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PUL0214	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
PUL0216	2	0	0	0	0	0	0	3	1	0	0	1	0	1	2	1	0	0	0	0	1	1	1	0	1
PUL0217	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	1	0	0	0
PUL0218	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	3	0	0	0	0
PUL0219	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2
PUL0220	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PUL0225	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	2	1	2	2	0	0	2	0
PUL0226	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PUL0227	1	0	0	0	2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0
PUL0229	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PUL0230	1	1	0	0	0	0	0	0	3	0	0	1	0	0	0	2	0	1	0	1	0	3	2	1	1
PUL0231	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
PUL0232	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PUL0234	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PUL0235	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0
PUL0236	1	1	1	2	0	2	2	1	1	0	0	1	1	0	1	0	3	1	0	1	1	2	1	1	0
PUL0238	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	1
PUL0239	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0
PUL0240	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PUL0242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PUL0243	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0245	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PUL0246	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
PUL0247	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
PUL0248	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
PUL0249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PUL0250	0	0	0	0	0	0	0	1	0	1	3	5	0	1	0	1	0	0	0	0	2	1	0	0	0
PUL0252	0	0	1	2	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0253	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PUL0254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PUL0255	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0
PUL0256	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PUL0257	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
PUL0258	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0
PUL0259	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0
PUL0260	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0
PUL0261	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PUL0262	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PUL0263	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0264	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0
PUL0265	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
PUL0266	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	1	0
PUL0267	4	3	2	3	2	1	2	1	0	2	2	4	2	4	2	1	2	2	2	1	4	1	0	4	2
PUL0269	1	1	0	0	0	0	0	3	0	1	0	0	0	4	0	1	1	0	0	0	0	0	0	0	1
PUL0270	2	0	0	0	0	0	0	0	1	0	2	0	0	2	0	1	3	0	0	0	5	0	1	0	0
PUL0278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PUL0279	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0280	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0281	2	0	0	0	0	0	0	0	1	0	2	0	2	1	0	3	0	1	1	3	3	0	1	0	1
PUL0285	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PUL0286	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
PUL0289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	1	0	0	0	0	0
PUL0290	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0291	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0
PUL0292	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
PUL0294	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
PUL0295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
PUL0296	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PUL0297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PUL0299	0	1	1	0	0	0	3	1	0	0	1	2	0	0	0	0	1	1	1	1	0	0	1	2	0
PUL0300	0	1	2	0	1	0	2	1	1	2	1	3	0	4	2	0	1	0	0	2	1	0	0	0	1
PUL0302	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0
PUL0303	0	0	0	1	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0
PUL0304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
PUL0305	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
PUL0306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
PUL0309	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	1	0	0	2	1
PUL0311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PUL0313	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0316	0	1	0	0	1	1	0	3	0	0	0	0	0	6	6	3	1	1	1	1	1	0	0	0	0
PUL0318	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PUL0320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
PUL0322	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0
PUL0324	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
PUL0326	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0327	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
PUL0328	0	0	1	1	0	0	0	0	0	0	2	0	1	2	1	0	0	1	1	1	2	0	0	0	0
PUL0329	0	1	3	2	1	1	4	0	1	1	2	0	2	3	1	0	1	1	0	2	2	0	0	0	0
PUL0332	0	0	0	0	1	1	3	0	0	0	0	0	1	2	1	0	0	1	0	0	1	1	0	0	1
PUL0333	0	1	2	1	2	1	1	2	1	3	2	1	2	3	2	2	3	0	0	0	5	1	1	1	0
PUL0334	1	0	1	2	2	1	0	1	0	4	1	1	1	4	0	0	2	0	0	0	1	0	0	0	0
PUL0335	15	4	6	3	2	0	3	5	3	3	6	2	4	10	0	0	3	6	4	5	5	3	2	4	0
PUL0336	2	1	3	1	1	0	2	1	1	3	1	0	1	2	0	2	1	3	3	3	2	1	2	1	0
PUL0337	0	0	0	0	3	1	1	2	2	0	2	0	0	2	3	2	0	1	1	2	0	2	2	2	1
PUL0339	1	1	4	5	4	4	0	2	1	4	1	1	3	2	1	2	3	4	3	2	3	0	2	0	0
PUL0340	3	2	1	1	2	1	0	2	2	3	1	3	1	7	2	2	2	3	3	3	2	2	4	6	1
PUL0341	0	2	3	2	0	0	0	0	1	1	2	1	1	0	1	1	0	1	1	0	0	1	2	1	1
PUL0342	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PUL0344	0	0	0	0	1	1	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
PUL0345	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
PUL0346	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
PUL0347	0	1	0	0	0	1	0	1	1	0	2	0	0	2	1	0	1	0	0	0	2	2	1	0	1
PUL0349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
PUL0350	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0352	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0353	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0354	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0
